'Number on Nodes Backbone', 'Ratio nodes adaptive', 'Di', 'avg degree bb, 'avg degree. c', 'avg_err'

11,0.19,3,4.363636363636363,0.0,0.1671672478852274
14,0.27,3,4.714285714285714,0.0,0.18128233019669687
33,0.23,3,5.454545454545454,0.0,0.16945542691604365
10,0.34,3,4.2,1.0,1.5831134697336153
21,0.15,3,5.142857142857143,0.0,1.7028276719193973
11,0.32,3,4.363636363636363,2.0,1.5705460650908518
6,0.43,3,3.0,2.0,1.4768881164304466
19,0.42,3,5.052631578947368,4.0,1.451123228477171
6,0.48,3,3.0,2.0,1.4805284880871517
25,0.31,3,5.28,3.0,1.413859616201748
23,0.45,3,5.217391304347826,6.25,1.4599591126088176
12,0.47,3,4.5,3.6,1.366505329204356
6,0.26,3,3.0,0.0,1.3996599136186458
22,0.16,3,5.181818181818182,2.0,1.5876343464075766
26,0.3,3,5.3076923076923075,5.714285714285714,1.4780353897660419
26,0.31,3,5.3076923076923075,4.666666666666667,1.51908867630282
11,0.14,3,4.363636363636363,1.0,1.5831002696977488
14,0.29,3,4.714285714285714,1.0,1.6329834001259638
20,0.45,3,5.1,6.444444444444445,1.4284869565264007
29,0.22,3,5.379310344827586,6.0,1.3809284654460046
10,0.34,3,4.2,4.333333333333333,1.398218456958892
12,0.46,3,4.5,3.0,1.442162475791051
35,0.44,3,5.485714285714286,9.875,1.5038133474748303
17,0.14,3,4.9411764705882355,3.0,1.4602431169385113
10,0.42,3,4.2,2.0,1.4867013063205283
18,0.47,3,5.0,7.111111111111111,1.6059309923044247
20,0.5,3,5.1,7.111111111111111,1.5247745114645435
15,0.14,3,4.8,1.0,1.365224027230813
40,0.33,3,5.55,11.333333333333334,1.4213267912670127
33,0.21,3,5.454545454545454,2.0,1.3500117959803066
36,0.4,3,5.5,10.0,1.4773128757336351
32,0.15,3,5.4375,4.0,1.3308402181198178
34,0.16,3,5.470588235294118,6.0,1.3522275509849253
28,0.21,3,5.357142857142857,5.0,1.4453747782277302
26,0.27,3,5.3076923076923075,2.0,1.4185867591243777
36,0.33,3,5.5,10.470588235294118,1.401927463073528
22,0.22,3,5.181818181818182,1.0,1.4884736009995523
22,0.12,3,5.181818181818182,2.0,1.4151499362132358
15,0.41,3,4.8,8.0,1.4654661392236215
14,0.31,3,4.714285714285714,2.0,1.5130194440160374
17,0.14,3,4.9411764705882355,0.0,1.5263798945289941
27,0.27,3,5.333333333333333,4.857142857142857,1.4910284414589328
17,0.5,3,4.9411764705882355,5.428571428571429,1.5013422294297385
30,0.23,3,5.4,4.0,1.4295502895907048
26,0.34,3,5.3076923076923075,6.666666666666667,1.5528434153971546
17,0.49,3,4.9411764705882355,7.111111111111111,1.5879558207696123
18,0.15,3,5.0,1.0,1.3877794576561546
64,0.45,3,5.71875,12.23076923076923,1.5100060025966633
20,0.16,3,5.1,2.0,1.5637565011889003
10,0.49,3,4.2,5.714285714285714,1.5470787460969602
50,0.41,3,5.64,11.68421052631579,1.4951336350747015
63,0.17,3,5.714285714285714,8.5,1.3516388046727739
27,0.16,3,5.333333333333333,4.666666666666667,1.4063176859398396
12,0.35,3,4.5,2.0,1.5866203475975267
26,0.37,3,5.3076923076923075,8.545454545454545,1.4563243808754043
